Symbol,Company Name,Name of Person,Category of Person,Securities Acquired/Disposed (No.),Securities Acquired/Disposed (Value),Securities Held Post (%),Date From,Date To,Details URL
TRUALT,TRUALT BIOENERGY LIMITED,NIRANI HOLDINGS PRIVATE LIMITED,Promoter Group,20000,"9,351,200.00",1.68%,12-08-2026,12-08-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_24291_20260813_143922650_WEB.html
TRUALT,TRUALT BIOENERGY LIMITED,NIRANI HOLDINGS PRIVATE LIMITED,Promoter Group,91705,"43,664,418.00",1.56%,07-08-2026,07-08-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_24291_20260807_202638399_WEB.html
THANGAMAYL,THANGAMAYIL JEWELLERY LIMITED,BALUSAMY SILVEARS JEWELLERY PRIVATE LIMITED,Promoter Group,1080,"5,476,270.00",1.76%,06-08-2026,06-08-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_3067_20260807_173945153_WEB.html
DBOL,Dhampur Bio Organics Limited,Shudh Edible Products Private Limited,Promoter Group,70000,"7,721,000.00",17.03%,29-06-2026,29-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20812_20260701_190505136_WEB.html
LYKALABS,Lyka Labs Limited,Kunal N Gandhi,Promoter,12914,"936,398.00",9.84%,29-06-2026,29-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1127_20260630_130729816_WEB.html
LYKALABS,Lyka Labs Limited,Kunal N Gandhi,Promoter,1262,"92,015.00",9.85%,29-06-2026,29-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1127_20260630_130729816_WEB.html
AURUM,Aurum PropTech Limited,Aurum RealEstate Developers Limited,Promoter,10000,"2,182,369.00",47.94%,29-06-2026,29-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_12987_20260630_104930235_WEB.html
STEL,STEL HOLDINGS LIMITED,SOFREAL MERCANTRADE PRIVATE LTD,Promoter Group,4767,"2,909,040.00",1.29%,25-06-2026,25-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_4020_20260629_204519955_WEB.html
SHYAMCENT,SHYAM CENTURY FERROUS LIMITED,Sri Ram Vanijya Private Limited,Promoter Group,137691,"751,029.00",4.02%,25-06-2026,25-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_12915_20260629_185901915_WEB.html
SESHAPAPER,SESHASAYEE PAPER AND BOARDS LIMITED,TIME SQUARE INVESTMENTS PRIVATE LIMITED,Promoter Group,3767,"848,764.00",10.22%,29-06-2026,29-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_118_20260629_173538066_WEB.html
MANINFRA,MAN INFRACONSTRUCTION LIMITED,Parag K. Shah,Promoter and Director,250000,"26,297,500.00",29.72%,25-06-2026,25-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_3094_20260629_100332585_WEB.html
INDIQUBE,Indiqube Spaces Limited,MEGHNA AGARWAL,Promoter and Director,3000,"515,026.00",15.89%,22-06-2026,22-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_25080_20260627_011913968_WEB.html
TIGERLOGS,Tiger Logistics (India) Limited,Brahma Suppliers Private Limited,Promoter Group,20000,"760,800.00",33.23%,25-06-2026,25-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_26474_20260626_163307897_WEB.html
PNGSREVA,PNGS Reva Diamond Jewellery Limited,P. N. Gadgil & Sons Limited,Promoter,5000,0.00,13.94%,25-06-2026,25-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_26347_20260625_204409718_WEB.html
