Symbol,CompanyName,ValuePurchased,TotalQty,NumBuyTxn,acqtoDt,AvgPrice,ValueCr,HasPledging,HasMarketSell,LastPrice,PromoHolding,DMA50,DMA200,SixMonthReturn,PriceDiffPct,AbsDiffPct,MarketCapCr,PE,RevGrowthPct,EBITDAGrowthPct,PATGrowthPct,EPSGrowthPct,ROCEPct,DE_Ratio,OCFPositive,OPMPct,PromoConvictionPct,ScorePromo,ScoreFund,ScoreTech,ScoreRisk,Score,Category
MSPL,MSP STEEL & POWER LIMITED,2323681604.0,55331698.0,47,22-06-2026,42.0,232.37,False,False,33.5,41.61,38.81,35.6,9.2,-20.2,20.2,1898.0,13.6,4.0,53.0,890.0,0.39,9.71,0.31,True,6.0,12.243,20,21,10,0,51,Buy on Breakout
STYLAMIND,STYLAM INDUSTRIES LIMITED,2097522000.0,932232.0,2,06-05-2026,2250.0,209.75,False,False,3643.7,54.61,3324.14,2516.25,65.0,61.9,61.9,6172.0,36.4,10.0,69.0,39.0,28.41,26.6,0.04,True,21.0,3.398,17,30,30,0,77,Strong Buy Setup
EUROPRATIK,Euro Pratik Sales Limited,1537749962.0,5781036.0,11,29-05-2026,266.0,153.77,False,False,283.85,70.09,294.35,279.9,19.6,6.7,6.7,2937.0,51.1,-3.0,11.0,3.0,1.05,29.6,0.03,True,24.0,5.236,25,13,25,0,63,Buy on Breakout
THOMASCOOK,THOMAS COOK (INDIA) LIMITED,483974535.0,4427617.0,4,11-06-2026,109.31,48.4,False,False,105.67,72.34,105.83,117.0,-10.2,-3.3,3.3,4980.0,40.0,0.0,42.0,8.0,1.25,9.69,0.06,True,5.0,0.972,25,14,0,0,39,Fundamental Watch
NIITLTD,NIIT Limited,479993631.0,5418000.0,8,09-06-2026,88.59,48.0,False,False,95.25,34.81,97.44,84.12,21.6,7.5,7.5,1308.0,157.0,34.0,-2.0,-78.0,0.79,-0.32,0.0,False,-2.2,3.67,20,8,25,-5,48,Watchlist
JARO,JARO INSTITUTE OF TECHNOLOGY MANAGEMENT AND RESEARCH LIMITED,374964848.0,694943.0,12,12-06-2026,539.56,37.5,False,False,452.15,57.33,501.93,505.49,-9.8,-16.2,16.2,1010.0,17.9,13.0,15.0,35.0,5.02,22.1,0.02,True,21.0,3.713,20,20,0,0,40,Watchlist
APLLTD,Alembic Pharmaceuticals Limited,242237126.0,321110.0,7,18-06-2026,754.37,24.22,False,False,825.0,69.61,801.25,797.25,4.4,9.4,9.4,16339.0,20.7,16.0,346.0,88.0,10.02,12.3,0.21,True,19.0,0.148,20,26,30,0,76,Strong Buy Setup
GOCOLORS,GO FASHION (INDIA) LIMITED,235953708.0,654259.0,4,03-06-2026,360.64,23.6,False,False,328.5,52.78,350.11,382.21,-10.9,-8.9,8.9,1723.0,32.2,-2.0,61.0,-39.0,3.14,10.6,0.77,True,27.0,1.37,20,11,0,0,31,Fundamental Watch
SUMEETINDS,SUMEET INDUSTRIES LIMITED,220818000.0,14900000.0,4,12-08-2026,14.82,22.08,False,False,14.78,21.07,26.44,28.86,-43.7,-0.3,0.3,1026.0,41.5,9.0,8.47,128.0,0.02,14.4,0.76,False,3.11,2.152,20,7,0,-2,25,Avoid
TRUALT,TRUALT BIOENERGY LIMITED,183533810.0,386412.0,8,12-08-2026,474.97,18.35,False,False,482.6,70.55,460.83,433.9,10.5,1.6,1.6,4130.0,28.9,2.0,127.0,-14.0,6.41,9.89,1.05,False,21.0,0.444,25,5,25,0,55,Buy on Breakout
GRMOVER,GRM OVERSEAS LIMITED,158990337.0,1587827.0,9,24-06-2026,100.13,15.9,False,False,90.09,71.72,94.16,208.3,-44.9,-10.0,10.0,1858.0,33.5,39.0,31.0,8.0,0.9,11.3,0.67,False,9.0,0.856,25,10,0,0,35,Fundamental Watch
PNGSREVA,PNGS Reva Diamond Jewellery Limited,138693680.0,370238.0,5,25-06-2026,374.61,13.87,False,False,570.0,63.09,428.96,,38.9,52.2,52.2,1812.0,21.5,581.0,34.0,881.0,8.58,22.0,0.33,False,29.0,0.765,20,24,20,0,64,Buy on Breakout
EVEREADY,EVEREADY INDUSTRIES INDIA LIMITED,136490952.0,402202.0,7,16-06-2026,339.36,13.65,False,False,356.7,43.21,353.39,332.37,4.9,5.1,5.1,2591.0,16.3,9.0,61.0,78.0,5.08,17.3,0.33,True,15.0,0.527,20,25,30,0,75,Strong Buy Setup
AEROENTER,AEROFLEX ENTERPRISES LIMITED,113347300.0,1081000.0,6,17-06-2026,104.85,11.33,False,False,127.98,51.59,123.55,94.28,55.4,22.1,22.1,1448.0,14.4,152.0,-23.0,955.0,8.07,3.22,0.0,False,-831.0,0.782,20,15,30,-2,63,Buy on Breakout
PARADEEP,PARADEEP PHOSPHATES LIMITED,89737086.0,690546.0,9,19-06-2026,129.95,8.97,False,False,147.5,56.08,139.44,137.7,14.2,13.5,13.5,15349.0,14.1,28.0,720.0,14.0,3.78,17.1,1.02,False,12.0,0.058,15,14,30,0,59,Buy on Breakout
MANINFRA,MAN INFRACONSTRUCTION LIMITED,78892500.0,750000.0,3,25-06-2026,105.19,7.89,False,False,106.2,67.15,105.27,114.05,-11.6,1.0,1.0,4285.0,27.9,-25.0,71.0,-11.0,1.48,10.7,0.0,True,69.0,0.184,20,14,10,0,44,Watchlist
GANESHCP,GANESH CONSUMER PRODUCTS LIMITED,75733991.0,371000.0,5,30-06-2026,204.13,7.57,False,False,160.0,64.08,184.98,206.51,-18.5,-21.6,21.6,649.0,14.3,-1.0,21.0,45.0,3.1,19.4,0.07,True,11.0,1.166,20,25,0,0,45,Watchlist
