Symbol,CompanyName,ValuePurchased,ReportedBuyQty,ReportedBuyTxn,acqtoDt,TotalQty,NumBuyTxn,PricedValuePurchased,AvgPrice,MissingValueQty,MissingValueTxn,ValueCr,MarketBuyValue,MarketSellValue,NetBuyValue,SellBuyRatioPct,HasMarketSell,SellBuyExclusion,HasPledging,LastPrice,PromoHolding,DMA50,DMA200,SixMonthReturn,PriceDiffPct,AbsDiffPct,MarketCapCr,PE,RevGrowthPct,EBITDAGrowthPct,PATGrowthPct,EPSGrowthPct,ROCEPct,DE_Ratio,OCFPositive,OPMPct,PromoConvictionPct,ScorePromo,ScoreFund,ScoreTech,ScoreRisk,Score,Category
ASTERDM,Aster DM Quality Care Limited,3795783565.0,4996797.0,3,02-09-2026,4996797.0,3,3795783565.0,759.64,0.0,0,379.58,3795783565.0,0.0,3795783565.0,0.0,False,False,False,785.75,41.88,800.69,699.22,21.9,3.4,3.4,68500.0,221.0,15.0,147.0,-4.0,-0.28,10.8,0.31,True,20.0,0.554,20,14,20,-3,51,Buy on Breakout
MSPL,MSP STEEL & POWER LTD,1164730334.0,27790849.0,24,22-06-2026,27790849.0,24,1164730334.0,41.91,0.0,0,116.47,1164730334.0,0.0,1164730334.0,0.0,False,False,False,35.4,41.61,36.66,35.69,13.1,-15.5,15.5,2009.0,14.4,4.0,53.0,890.0,0.39,9.71,0.31,True,6.0,5.797,20,21,10,0,51,Buy on Breakout
DIAMONDYD,Prataap Snacks Limited,655822919.0,558463.0,5,07-08-2026,558463.0,5,655822919.0,1174.34,0.0,0,65.58,655822919.0,0.0,655822919.0,0.0,False,False,False,1158.3,69.75,1167.85,1086.46,13.8,-1.4,1.4,2773.0,218.0,6.0,19.05,194.0,1.03,3.08,0.06,True,3.87,2.365,25,21,15,-5,56,Buy on Breakout
IRB,IRB INFRASTRUCTURE DEVELOPERS LIMITED,609415178.0,31500000.0,3,02-09-2026,31500000.0,3,609415178.0,19.35,0.0,0,60.94,609415178.0,0.0,609415178.0,0.0,False,False,False,19.65,34.39,19.85,30.33,-50.8,1.6,1.6,23733.0,20.9,-11.0,452.0,30.0,0.22,7.28,0.74,False,37.0,0.257,20,12,5,0,37,Fundamental Watch
THOMASCOOK,THOMAS COOK (INDIA) LIMITED,483974535.0,4427617.0,4,11-06-2026,4427617.0,4,483974535.0,109.31,0.0,0,48.4,483974535.0,0.0,483974535.0,0.0,False,False,False,111.65,72.34,105.1,113.11,11.6,2.1,2.1,5257.0,42.2,0.0,42.0,8.0,1.25,9.71,0.06,True,5.0,0.921,25,14,15,0,54,Buy on Breakout
NIITLTD,NIIT Limited,443188525.0,4613000.0,14,31-08-2026,4613000.0,14,443188525.0,96.07,0.0,0,44.32,443188525.0,0.0,443188525.0,0.0,False,False,False,98.96,34.81,98.0,83.78,44.8,3.0,3.0,1358.0,163.0,34.0,-2.0,-78.0,0.79,-0.32,0.0,False,-2.2,3.264,20,8,25,-5,48,Watchlist
SUMEETINDS,SUMEET INDUSTRIES LIMITED,235458000.0,15900000.0,5,14-08-2026,15900000.0,5,235458000.0,14.81,0.0,0,23.55,235458000.0,0.0,235458000.0,0.0,False,False,False,11.5,21.07,22.28,27.17,-58.6,-22.3,22.3,799.0,32.3,9.0,8.47,128.0,0.02,14.4,0.76,False,3.11,2.947,20,7,0,-2,25,Avoid
JARO,JARO INSTITUTE OF TECHNOLOGY MANAGEMENT AND RESEARCH LIMITED,115497637.0,208480.0,10,26-08-2026,208480.0,10,115497637.0,554.0,0.0,0,11.55,115497637.0,0.0,115497637.0,0.0,False,False,False,445.65,57.33,474.95,492.3,1.4,-19.6,19.6,993.0,17.6,13.0,15.0,35.0,5.02,22.1,0.02,True,21.0,1.163,20,20,5,0,45,Watchlist
JAYSREETEA,JAY SHREE TEA & INDUSTRIES LTD,111816242.0,1263712.0,3,18-08-2026,1263712.0,3,111816242.0,88.48,0.0,0,11.18,111816242.0,0.0,111816242.0,0.0,False,False,False,98.95,50.68,88.8,86.65,28.6,11.8,11.8,284.0,,6.0,5.54,-147.0,-2.14,0.93,1.09,False,2.73,3.937,20,0,30,-2,48,Watchlist
GRMOVER,GRM OVERSEAS LIMITED,108709329.0,1137827.0,6,24-06-2026,1137827.0,6,108709329.0,95.54,0.0,0,10.87,108709329.0,0.0,108709329.0,0.0,False,False,False,87.53,71.72,90.93,182.72,-44.9,-8.4,8.4,1811.0,32.7,39.0,31.0,8.0,0.9,11.3,0.67,False,9.0,0.6,25,10,0,0,35,Fundamental Watch
TRUALT,TRUALT BIOENERGY LIMITED,102230903.0,215306.0,5,12-08-2026,215306.0,5,102230903.0,474.82,0.0,0,10.22,102230903.0,0.0,102230903.0,0.0,False,False,False,425.25,70.55,445.75,433.44,12.9,-10.4,10.4,3645.0,25.5,2.0,127.0,-14.0,6.41,9.89,1.05,False,21.0,0.28,25,5,10,0,40,Watchlist
PONNIERODE,PONNI SUGARS (ERODE) LIMITED,101498680.0,290000.0,1,17-08-2026,290000.0,1,101498680.0,350.0,0.0,0,10.15,101498680.0,0.0,101498680.0,0.0,False,False,False,382.45,42.36,342.15,299.02,45.6,9.3,9.3,331.0,11.1,22.0,-1.78,175.0,-1.43,7.27,0.0,True,-1.94,3.066,17,21,25,-2,61,Buy on Breakout
AEROENTER,AEROFLEX ENTERPRISES LIMITED,89594180.0,847500.0,5,17-06-2026,847500.0,5,89594180.0,105.72,0.0,0,8.96,89594180.0,0.0,89594180.0,0.0,False,False,False,141.81,51.59,129.53,98.14,87.9,34.1,34.1,1604.0,16.0,152.0,-23.0,955.0,8.07,3.05,0.0,False,-831.0,0.559,20,15,30,-2,63,Buy on Breakout
ALEMBICLTD,Alembic Limited,84885276.0,925695.0,5,02-09-2026,925695.0,5,84885276.0,91.7,0.0,0,8.49,84885276.0,0.0,84885276.0,0.0,False,False,False,111.41,70.88,91.51,92.1,25.3,21.5,21.5,2862.0,23.4,8.0,14.0,-14.0,0.57,16.9,0.01,True,30.0,0.297,25,13,25,0,63,Buy on Breakout
GANESHCP,Ganesh Consumer Products Limited,83735000.0,419200.0,7,02-09-2026,419200.0,7,83735000.0,199.75,0.0,0,8.37,83735000.0,0.0,83735000.0,0.0,False,False,False,174.46,64.08,174.67,197.84,-6.1,-12.7,12.7,708.0,15.6,-1.0,21.0,45.0,3.1,19.4,0.07,True,11.0,1.182,20,25,0,0,45,Watchlist
PNGSREVA,PNGS Reva Diamond Jewellery Limited,80168880.0,210238.0,4,25-06-2026,205238.0,3,80168880.0,390.61,5000.0,1,8.02,80168880.0,0.0,80168880.0,0.0,False,False,False,516.35,63.09,475.99,,25.4,32.2,32.2,1638.0,19.4,581.0,34.0,881.0,8.58,22.0,0.33,False,29.0,0.49,20,24,20,0,64,Buy on Breakout
APLLTD,Alembic Pharmaceuticals Limited,76922116.0,103110.0,3,18-06-2026,103110.0,3,76922116.0,746.02,0.0,0,7.69,76922116.0,0.0,76922116.0,0.0,False,False,False,808.2,69.61,821.6,789.94,14.6,8.3,8.3,15877.0,20.1,16.0,346.0,88.0,10.02,12.3,0.21,True,19.0,0.048,20,26,25,0,71,Strong Buy Setup
AJMERA,AJMERA REALTY & INFRA INDIA LIMITED,73623440.0,641000.0,4,04-06-2026,641000.0,4,73623440.0,114.86,0.0,0,7.36,73623440.0,0.0,73623440.0,0.0,False,False,False,117.76,69.74,124.36,305.71,-8.9,2.5,2.5,2315.0,19.9,18.0,46.0,-4.0,1.17,14.2,0.46,False,38.0,0.318,25,13,5,0,43,Watchlist
