Symbol,BuyTxn7D,BuyValue7D,SellTxn7D,SellValue7D,NetBuyValue7D,BuyTxn15D,BuyValue15D,SellTxn15D,SellValue15D,NetBuyValue15D,BuyTxn30D,BuyValue30D,SellTxn30D,SellValue30D,NetBuyValue30D,BuyTxn60D,BuyValue60D,SellTxn60D,SellValue60D,NetBuyValue60D,BuyTxn90D,BuyValue90D,SellTxn90D,SellValue90D,NetBuyValue90D,FirstBuyDate,FirstBuyDisclosureDate,FirstBuyPrice,FirstBuyValue,LastBuyDate,LastBuyDisclosureDate,LastBuyPrice,LastBuyValue,AccumulationDays,DaysSinceFirstBuy,DaysSinceLastBuy,UniquePromotersBuying,UniquePromotersSelling,WeightedAvgBuyPrice,BuyAcceleration,Freshness,AccumulationStage
AAATECH,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,,,,0.0,,,,0.0,0,,,0,0,,0.0,No Signal,No Signal
AAKASH,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,,,,0.0,,,,0.0,0,,,0,0,,0.0,No Signal,No Signal
AARTIPHARM,0,0.0,0,0.0,0.0,0,0.0,1,511888.0,-511888.0,0,0.0,6,94782902.0,-94782902.0,0,0.0,6,94782902.0,-94782902.0,0,0.0,10,293698985.0,-293698985.0,,,,0.0,,,,0.0,0,,,0,2,,0.0,No Signal,No Signal
ADL,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,,,,0.0,,,,0.0,0,,,0,0,,0.0,No Signal,No Signal
ADOR,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,1,27703790.0,-27703790.0,0,0.0,1,27703790.0,-27703790.0,,,,0.0,,,,0.0,0,,,0,1,,0.0,No Signal,No Signal
ADVAIT,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,,,,0.0,,,,0.0,0,,,0,0,,0.0,No Signal,No Signal
AEROENTER,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,4,65841060.0,0,0.0,65841060.0,05-06-2026,05-06-2026,101.72642398286938,23753120.0,17-06-2026,18-06-2026,113.3,11330000.0,12,92,80,1,0,104.85411655874191,0.0,Stale,Stale Accumulation
AFCONS,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,,,,0.0,,,,0.0,0,,,0,0,,0.0,No Signal,No Signal
AJANTPHARM,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,1,10239600000.0,-10239600000.0,,,,0.0,,,,0.0,0,,,0,1,,0.0,No Signal,No Signal
AKI,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,,,,0.0,,,,0.0,0,,,0,0,,0.0,No Signal,No Signal
ALEMBICLTD,3,23357076.0,0,0.0,23357076.0,4,35618957.0,0,0.0,35618957.0,6,85826103.0,0,0.0,85826103.0,6,85826103.0,0,0.0,85826103.0,6,85826103.0,0,0.0,85826103.0,17-08-2026,17-08-2026,87.74665695371235,39869975.0,02-09-2026,03-09-2026,99.08657187993681,940827.0,16,19,3,1,0,91.7739742726077,0.2721,Fresh,Confirmed Accumulation
ALICON,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,2,2266406.0,0,0.0,2266406.0,08-06-2026,09-06-2026,642.6124324324325,1188833.0,10-06-2026,11-06-2026,653.0745454545455,1077573.0,2,89,87,2,0,647.5445714285714,0.0,Stale,Stale Accumulation
