Symbol,CompanyName,ValuePurchased,ReportedBuyQty,ReportedBuyTxn,acqtoDt,TotalQty,NumBuyTxn,PricedValuePurchased,AvgPrice,MissingValueQty,MissingValueTxn,ValueCr,MarketBuyValue,MarketSellValue,NetBuyValue,SellBuyRatioPct,HasMarketSell,SellBuyExclusion,HasPledging,LastPrice,PromoHolding,DMA50,DMA200,SixMonthReturn,PriceDiffPct,AbsDiffPct,FirstBuyDate,LastBuyDate,FirstBuyPrice,LastBuyPrice,WeightedAvgBuyPrice,AccumulationDays,DaysSinceFirstBuy,DaysSinceLastBuy,BuyTxn7D,BuyTxn15D,BuyTxn30D,BuyTxn60D,BuyTxn90D,BuyValue7D,BuyValue15D,BuyValue30D,BuyValue60D,BuyValue90D,NetBuyValue7D,NetBuyValue30D,UniquePromotersBuying,UniquePromotersSelling,BuyAcceleration,Freshness,AccumulationStage,PromoterAvgPrice,CMPvsPromoterAvgPct,SignalStage,MarketCapCr,PE,RevGrowthPct,EBITDAGrowthPct,PATGrowthPct,EPSGrowthPct,ROCEPct,DE_Ratio,OCFPositive,OPMPct,PromoConvictionPct,ScorePromo,ScoreFund,ScoreTech,ScoreRisk,Score,Category
ASTERDM,Aster DM Quality Care Limited,3795783565.0,4996797.0,3,02-09-2026,4996797.0,3,3795783565.0,759.64,0.0,0,379.58,3795783565.0,0.0,3795783565.0,0.0,False,False,False,785.75,41.88,800.69,699.22,21.9,3.4,3.4,31-08-2026,02-09-2026,752.1587952705815,760.0,759.6433405239396,2,7,5,2,3,3,3,3,3727206239.0,3795783565.0,3795783565.0,3795783565.0,3795783565.0,3727206239.0,3795783565.0,1,0,0.9819,Fresh,Early Accumulation,759.6433405239396,3.4,Early Accumulation,68823.0,222.0,15.0,147.0,-4.0,-0.28,10.8,0.31,True,20.0,0.552,20,14,20,-3,51,Buy on Breakout
MSPL,MSP STEEL & POWER LIMITED,1164730334.0,27790849.0,24,22-06-2026,27790849.0,24,1164730334.0,41.91,0.0,0,116.47,1164730334.0,0.0,1164730334.0,0.0,False,False,False,35.4,41.61,36.66,35.69,13.1,-15.5,15.5,02-06-2026,22-06-2026,42.298,44.71879963320128,41.995486999151915,20,97,77,0,0,0,0,32,0.0,0.0,0.0,0.0,1301237321.0,0.0,0.0,6,0,0.0,Stale,Stale Accumulation,41.995486999151915,-15.7,Late — Poor Entry,1963.0,14.1,4.0,53.0,890.0,0.39,9.71,0.31,True,6.0,5.933,20,21,10,0,51,Buy on Breakout
CONFIPET,CONFIDENCE PETROLEUM INDIA LIMITED,823889900.0,11320110.0,9,26-08-2026,11320110.0,9,823889900.0,72.78,0.0,0,82.39,823889900.0,0.0,823889900.0,0.0,False,False,False,82.48,61.32,76.65,53.02,171.6,13.3,13.3,19-06-2026,26-08-2026,70.67,80.74,72.54271810256775,68,80,12,0,2,4,4,12,0.0,90512030.0,495980620.0,495980620.0,1205171980.0,0.0,495980620.0,2,0,0.0,Active,Confirmed Accumulation,72.54271810256775,13.7,Mature — Wait for Pullback,2735.0,21.5,75.0,136.0,54.0,1.83,10.9,0.4,True,6.0,3.012,20,26,30,0,76,Strong Buy Setup
IRB,IRB INFRASTRUCTURE DEVELOPERS LIMITED,609415178.0,31500000.0,3,02-09-2026,31500000.0,3,609415178.0,19.35,0.0,0,60.94,609415178.0,0.0,609415178.0,0.0,False,False,False,19.65,34.39,19.85,30.33,-50.8,1.6,1.6,31-08-2026,02-09-2026,19.436620666666666,19.326489523809524,19.346513587301587,2,7,5,2,3,3,3,3,405330661.0,609415178.0,609415178.0,609415178.0,609415178.0,405330661.0,609415178.0,1,0,0.6651,Fresh,Early Accumulation,19.346513587301587,1.6,Early Accumulation,23323.0,20.6,-11.0,452.0,30.0,0.22,7.28,0.74,False,37.0,0.261,20,12,5,0,37,Fundamental Watch
DIAMONDYD,Prataap Snacks Limited,595794044.0,507506.0,4,07-08-2026,507506.0,4,595794044.0,1173.96,0.0,0,59.58,595794044.0,0.0,595794044.0,0.0,False,False,False,1158.3,69.75,1167.85,1086.46,13.8,-1.3,1.3,25-06-2026,07-08-2026,1090.0,1179.860001898032,1173.9645324390253,43,74,31,0,0,0,3,4,0.0,0.0,0.0,586966134.0,595794044.0,0.0,0.0,1,0,0.0,Aging,Mature Accumulation,1173.9645324390253,-1.3,Mature — Wait for Pullback,2728.0,214.0,6.0,19.05,194.0,1.03,3.08,0.06,True,3.87,2.184,25,21,15,-5,56,Buy on Breakout
THOMASCOOK,THOMAS COOK (INDIA) LIMITED,483974535.0,4427617.0,4,11-06-2026,4427617.0,4,483974535.0,109.31,0.0,0,48.4,483974535.0,0.0,483974535.0,0.0,False,False,False,111.65,72.34,105.1,113.11,11.6,2.1,2.1,08-06-2026,11-06-2026,103.75710020989752,107.94740176620421,109.30813008442239,3,91,88,0,0,0,0,2,0.0,0.0,0.0,0.0,192112065.0,0.0,0.0,1,0,0.0,Stale,Stale Accumulation,109.30813008442239,2.1,Late — Poor Entry,5311.0,42.6,0.0,42.0,8.0,1.25,9.71,0.06,True,5.0,0.911,25,14,15,0,54,Buy on Breakout
NIITLTD,NIIT Limited,285079344.0,2893000.0,12,31-08-2026,2893000.0,12,285079344.0,98.54,0.0,0,28.51,285079344.0,0.0,285079344.0,0.0,False,False,False,98.96,34.81,98.0,83.78,44.8,0.4,0.4,08-06-2026,31-08-2026,93.30641025641026,106.77,98.54107984790875,84,91,7,0,8,8,8,8,0.0,142851469.0,142851469.0,142851469.0,142851469.0,0.0,142851469.0,2,0,0.0,Fresh,Confirmed Accumulation,98.54107984790875,0.4,Confirmed Accumulation,1344.0,162.0,34.0,-2.0,-78.0,0.79,-0.32,0.0,False,-2.2,2.121,20,8,25,-5,48,Watchlist
SUMEETINDS,SUMEET INDUSTRIES LIMITED,235458000.0,15900000.0,5,14-08-2026,15900000.0,5,235458000.0,14.81,0.0,0,23.55,235458000.0,0.0,235458000.0,0.0,False,False,False,11.5,21.07,22.28,27.17,-58.6,-22.3,22.3,12-08-2026,14-08-2026,14.82,14.64,14.808679245283018,2,26,24,0,0,5,5,5,0.0,0.0,235458000.0,235458000.0,235458000.0,0.0,235458000.0,4,0,0.0,Active,Confirmed Accumulation,14.808679245283018,-22.3,Confirmed Accumulation,790.0,32.0,9.0,8.47,128.0,0.02,14.4,0.76,False,3.11,2.981,20,7,0,-2,25,Avoid
JAYSREETEA,JAY SHREE TEA & INDUSTRIES LTD,111816242.0,1263712.0,3,18-08-2026,1263712.0,3,111816242.0,88.48,0.0,0,11.18,111816242.0,0.0,111816242.0,0.0,False,False,False,98.95,50.68,88.8,86.65,28.6,11.8,11.8,17-08-2026,18-08-2026,88.49123585958849,88.23788546255507,88.48237731381833,1,21,20,0,0,3,3,3,0.0,0.0,111816242.0,111816242.0,111816242.0,0.0,111816242.0,1,0,0.0,Active,Confirmed Accumulation,88.48237731381833,11.8,Mature — Wait for Pullback,287.0,,6.0,5.54,-147.0,-2.14,0.93,1.09,False,2.73,3.895,20,0,30,-2,48,Watchlist
GRMOVER,GRM OVERSEAS LIMITED,108709329.0,1137827.0,6,24-06-2026,1137827.0,6,108709329.0,95.54,0.0,0,10.87,108709329.0,0.0,108709329.0,0.0,False,False,False,87.53,71.72,90.93,182.72,-44.9,-8.4,8.4,08-06-2026,24-06-2026,121.9935,91.21972,100.13076802447621,16,91,75,0,0,0,0,6,0.0,0.0,0.0,0.0,104093262.0,0.0,0.0,2,0,0.0,Stale,Stale Accumulation,100.13076802447621,-12.6,Late — Poor Entry,1777.0,32.0,39.0,31.0,8.0,0.9,11.3,0.67,False,9.0,0.612,25,10,0,0,35,Fundamental Watch
