Symbol,Company Name,Name of Person,Category of Person,TransactionDate,Transaction,Quantity,Value,Price,Securities Held Prior (No.),Securities Held Prior (%),Securities Held Post (No.),Securities Held Post (%),Date From,Date To,Mode of Acquisition/Disposal,Broadcast Date/Time,Details URL
AEROENTER,AEROFLEX ENTERPRISES LIMITED,A Flex Invest Private Limited,Promoter Group,2026-06-16,BUY,190000.0,20824000.0,109.6,8057500,7.13%,8247500,7.29%,15-06-2026,16-06-2026,Market Purchase,16-Jun-2026 19:12:39,https://nsearchives.nseindia.com/corporate/ixbrl/IT_21141_20260616_191239194_WEB.html
AEROENTER,AEROFLEX ENTERPRISES LIMITED,A Flex Invest Private Limited,Promoter Group,2026-06-17,BUY,100000.0,11330000.0,113.3,8247500,7.29%,8347500,7.38%,17-06-2026,17-06-2026,Market Purchase,18-Jun-2026 20:53:36,https://nsearchives.nseindia.com/corporate/ixbrl/IT_21141_20260618_205336745_WEB.html
ALEMBICLTD,Alembic Limited,Nirayu  Private Limited,Promoter Group,2026-08-17,BUY,454376.0,39869975.0,87.74665695371235,161915052,63.06%,162369428,63.23%,14-08-2026,17-08-2026,Market Purchase,17-Aug-2026 19:34:08,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1817_20260817_193408112_WEB.html
ALEMBICLTD,Alembic Limited,Nirayu  Private Limited,Promoter Group,2026-08-19,BUY,115719.0,10337171.0,89.32993717539902,162369428,63.23%,162485147,63.28%,18-08-2026,19-08-2026,Market Purchase,19-Aug-2026 19:40:50,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1817_20260819_194050349_WEB.html
ALEMBICLTD,Alembic Limited,Nirayu  Private Limited,Promoter Group,2026-08-25,BUY,129136.0,12261881.0,94.95323534877959,162485147,63.28%,162614283,63.33%,25-08-2026,25-08-2026,Market Purchase,26-Aug-2026 19:34:06,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1817_20260826_193406018_WEB.html
ALEMBICLTD,Alembic Limited,Nirayu  Private Limited,Promoter Group,2026-09-01,BUY,216969.0,21475422.0,98.9792182293323,162614283,63.33%,162831252,63.41%,31-08-2026,01-09-2026,Market Purchase,01-Sep-2026 19:19:49,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1817_20260901_191949048_WEB.html
ALEMBICLTD,Alembic Limited,Nirayu  Private Limited,Promoter Group,2026-09-02,BUY,9495.0,940827.0,99.08657187993681,162831252,63.41%,162840747,63.42%,02-09-2026,02-09-2026,Market Purchase,03-Sep-2026 20:35:49,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1817_20260903_203549258_WEB.html
ALEMBICLTD,Alembic Limited,Nirayu  Private Limited,Promoter Group,2026-09-02,BUY,9495.0,940827.0,99.08657187993681,162831252,63.41%,162840747,63.42%,02-09-2026,02-09-2026,Market Purchase,03-Sep-2026 20:25:22,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1817_20260903_202522327_WEB.html
ALMONDZ,ALMONDZ GLOBAL SECURITIES LIMITED,INNOVATIVE MONEY MATTERS PRIVATE LIMITED,Promoter,2026-08-27,BUY,195000.0,3173606.0,16.274902564102565,0,0.00%,195000,0.10%,27-08-2026,27-08-2026,Market Purchase,28-Aug-2026 11:38:26,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2757_20260828_113826331_WEB.html
ALMONDZ,ALMONDZ GLOBAL SECURITIES LIMITED,INNOVATIVE MONEY MATTERS PRIVATE LIMITED,Promoter,2026-08-28,BUY,5000.0,80864.0,16.1728,195000,0.10%,200000,0.10%,28-08-2026,28-08-2026,Market Purchase,31-Aug-2026 12:19:26,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2757_20260831_121926092_WEB.html
