Symbol,CompanyName,ValuePurchased,ReportedBuyQty,ReportedBuyTxn,acqtoDt,TotalQty,NumBuyTxn,PricedValuePurchased,AvgPrice,MissingValueQty,MissingValueTxn,ValueCr,MarketBuyValue,MarketSellValue,NetBuyValue,SellBuyRatioPct,HasMarketSell,SellBuyExclusion,HasPledging,LastPrice,52WeekHigh,52WeekLow,PromoHolding,DMA50,DMA200,SixMonthReturn,PriceDiffPct,AbsDiffPct,FirstBuyDate,LastBuyDate,FirstBuyPrice,LastBuyPrice,WeightedAvgBuyPrice,AccumulationDays,DaysSinceFirstBuy,DaysSinceLastBuy,BuyTxn7D,BuyTxn15D,BuyTxn30D,BuyTxn60D,BuyTxn90D,BuyValue7D,BuyValue15D,BuyValue30D,BuyValue60D,BuyValue90D,NetBuyValue7D,NetBuyValue30D,UniquePromotersBuying,UniquePromotersSelling,BuyAcceleration,Freshness,AccumulationStage,PromoterAvgPrice,CMPvsPromoterAvgPct,SignalStage,MarketCapCr,PE,RevGrowthPct,EBITDAGrowthPct,PATGrowthPct,EPSGrowthPct,ROCEPct,DE_Ratio,OCFPositive,OPMPct,PromoConvictionPct,ScorePromo,ScoreFund,ScoreTech,ScoreRisk,Score,Category
GANDHAR,GANDHAR OIL REFINERY (INDIA) LIMITED,21254611.0,100000.0,3,08-09-2026,100000.0,3,21254611.0,212.55,0.0,0,2.13,21254611.0,0.0,21254611.0,0.0,False,False,False,272.7,,,64.63,240.0,170.1,108.1,28.3,28.3,16-06-2026,08-09-2026,159.5321,264.4808064516129,212.54611,84,88,4,2,2,2,2,3,13278006.0,13278006.0,13278006.0,13278006.0,21254611.0,13278006.0,13278006.0,1,0,1.0,Fresh,Confirmed Accumulation,212.54611,28.3,Late — Poor Entry,2669.0,9.17,36.0,249.0,301.0,18.27,15.5,0.07,True,16.0,0.08,15,35,30,0,80,Strong Buy Setup
PREMIERPOL,PREMIER POLYFILM LIMITED,28374100.0,498960.0,3,17-06-2026,498960.0,3,28374100.0,56.87,0.0,0,2.84,28374100.0,5525660.0,22848440.0,19.47,True,False,False,85.91,,,67.46,78.7,59.21,40.5,51.1,51.1,12-06-2026,17-06-2026,56.0,58.0,56.86648228314895,5,92,87,0,0,0,0,2,0.0,0.0,0.0,0.0,17051460.0,0.0,0.0,1,1,0.0,Stale,Stale Accumulation,56.86648228314895,51.1,Late — Poor Entry,900.0,25.8,19.0,13.52,34.0,0.87,28.9,0.13,True,15.38,0.316,23,25,30,0,78,Strong Buy Setup
CONFIPET,CONFIDENCE PETROLEUM INDIA LIMITED,927231855.0,12335421.0,8,09-09-2026,12335421.0,8,927231855.0,75.17,0.0,0,92.72,927231855.0,0.0,927231855.0,0.0,False,False,False,89.22,,,61.32,77.84,54.16,204.1,18.7,18.7,19-06-2026,09-09-2026,70.67,83.34273301732159,74.43213922903092,82,85,3,1,1,3,3,10,235214695.0,235214695.0,498181030.0,498181030.0,1105779640.0,235214695.0,498181030.0,2,0,0.4721,Fresh,Confirmed Accumulation,74.43213922903092,19.9,Mature — Wait for Pullback,2964.0,23.2,75.0,136.0,54.0,1.83,10.9,0.4,True,6.0,3.128,20,26,30,0,76,Strong Buy Setup
SIGIND,Signet Industries Limited,7569456.0,107069.0,7,09-09-2026,107069.0,7,7569456.0,70.7,0.0,0,0.76,7569456.0,0.0,7569456.0,0.0,False,False,False,70.79,,,72.57,59.94,52.03,55.3,0.1,0.1,27-08-2026,09-09-2026,70.84518513877576,69.76962395034684,70.69698979162969,13,16,3,4,5,7,7,7,4398473.0,5168760.0,7569456.0,7569456.0,7569456.0,4398473.0,7569456.0,1,0,0.5811,Fresh,Early Accumulation,70.69698979162969,0.1,Early Accumulation,208.0,8.86,17.0,27.97,17.0,2.73,13.7,1.86,True,9.14,0.365,25,23,25,0,73,Strong Buy Setup
THANGAMAYL,THANGAMAYIL JEWELLERY LIMITED,50150476.0,9855.0,4,31-08-2026,9855.0,4,50150476.0,5088.84,0.0,0,5.02,50150476.0,0.0,50150476.0,0.0,False,False,False,5126.0,,,67.16,5775.91,4375.5,37.8,0.7,0.7,04-08-2026,31-08-2026,4810.6375,5359.038918918919,5088.83571790969,27,39,12,0,1,1,4,4,0.0,4957111.0,4957111.0,50150476.0,50150476.0,0.0,4957111.0,3,0,0.0,Active,Confirmed Accumulation,5088.83571790969,0.7,Confirmed Accumulation,15933.0,40.6,83.0,145.0,264.0,27.38,25.5,0.64,True,5.0,0.032,20,32,20,0,72,Strong Buy Setup
APLLTD,Alembic Pharmaceuticals Limited,76922116.0,103110.0,3,18-06-2026,103110.0,3,76922116.0,746.02,0.0,0,7.69,76922116.0,0.0,76922116.0,0.0,False,False,False,810.95,,,69.61,821.04,787.34,13.8,8.7,8.7,11-06-2026,18-06-2026,746.0249866666667,743.493898718731,746.0199398700418,7,93,86,0,0,0,0,2,0.0,0.0,0.0,0.0,20970242.0,0.0,0.0,1,0,0.0,Stale,Stale Accumulation,746.0199398700418,8.7,Late — Poor Entry,15940.0,20.2,16.0,346.0,88.0,10.02,12.3,0.21,True,19.0,0.048,20,26,25,0,71,Strong Buy Setup
INDORAMA,INDO RAMA SYNTHETICS (INDIA) LIMITED,31393588.0,414796.0,2,09-09-2026,414796.0,2,31393588.0,75.68,0.0,0,3.14,31393588.0,0.0,31393588.0,0.0,False,False,False,86.5,,,74.85,58.83,45.68,153.7,14.3,14.3,08-09-2026,09-09-2026,74.1302357497801,77.39172514279643,75.6844038997483,1,4,3,2,2,2,2,2,31393588.0,31393588.0,31393588.0,31393588.0,31393588.0,31393588.0,31393588.0,1,0,1.0,Fresh,Early Accumulation,75.6844038997483,14.3,Mature — Wait for Pullback,2259.0,19.8,-3.0,62.0,77.0,1.29,15.8,1.69,True,8.0,0.139,17,22,30,0,69,Strong Buy Setup
BHAGERIA,Bhageria Industries Limited,2228700.0,10000.0,1,26-08-2026,10000.0,1,2228700.0,222.87,0.0,0,0.22,2228700.0,0.0,2228700.0,0.0,False,False,False,317.05,,,71.75,228.87,185.75,109.4,42.3,42.3,26-08-2026,26-08-2026,222.87,222.87,222.87,0,17,17,0,0,1,1,1,0.0,0.0,2228700.0,2228700.0,2228700.0,0.0,2228700.0,1,0,0.0,Active,Mature Accumulation,222.87,42.3,Late — Poor Entry,1384.0,18.6,55.0,40.0,54.0,8.23,11.0,0.01,True,14.0,0.016,17,26,25,0,68,Strong Buy Setup
INDIQUBE,Indiqube Spaces Limited,2543624.0,15500.0,4,24-06-2026,15500.0,4,2543624.0,164.1,0.0,0,0.25,2543624.0,0.0,2543624.0,0.0,False,False,False,202.87,,,60.6,182.93,177.88,24.6,23.6,23.6,09-06-2026,24-06-2026,159.80963636363637,168.6686,164.1047741935484,15,95,80,0,0,0,0,2,0.0,0.0,0.0,0.0,1358369.0,0.0,0.0,1,0,0.0,Stale,Stale Accumulation,164.1047741935484,23.6,Late — Poor Entry,4301.0,,39.0,258.0,30.0,-1.13,6.38,10.11,True,61.0,0.006,15,23,30,0,68,Strong Buy Setup
CHEMBONDCH,CHEMBOND CHEMICALS LIMITED,7015000.0,30500.0,2,06-08-2026,30500.0,2,7015000.0,230.0,0.0,0,0.7,7015000.0,0.0,7015000.0,0.0,False,False,False,262.2,,,67.65,253.32,183.37,95.2,14.0,14.0,06-08-2026,06-08-2026,230.0,230.0,230.0,0,37,37,0,0,0,2,2,0.0,0.0,0.0,7015000.0,7015000.0,0.0,0.0,2,0,0.0,Aging,Mature Accumulation,230.0,14.0,Mature — Wait for Pullback,705.0,58.9,3.0,2.99,97.0,1.0,11.6,0.0,True,16.21,0.099,17,16,30,0,63,Buy on Breakout
