Symbol,Company Name,TotalIssuedShares,PromoterHoldingShares,PromoterHoldingPctTotal,PromoterEncumberedShares,PromoterEncumberedPctPromoter,PromoterEncumberedPctTotal,PromoterEncumberedValueCr,PromoterDisclosure,DepositoryPledgedShares,TotalDematShares,DepositoryPledgePctDemat,DepositoryPledgedValueCr,SourceURL,RetrievedAt,Status
CONFIPET,,,,,,,,,,,,,,https://www.nseindia.com/companies-listing/corporate-filings-pledged-data?symbol=CONFIPET&tabIndex=equity,2026-09-14T13:13:45.220531+00:00,NO_NSE_ROW
GANDHAR,,,,,,,,,,,,,,https://www.nseindia.com/companies-listing/corporate-filings-pledged-data?symbol=GANDHAR&tabIndex=equity,2026-09-14T13:13:48.889425+00:00,NO_NSE_ROW
INDORAMA,,,,,,,,,,,,,,https://www.nseindia.com/companies-listing/corporate-filings-pledged-data?symbol=INDORAMA&tabIndex=equity,2026-09-14T13:13:52.529356+00:00,NO_NSE_ROW
SIGIND,,,,,,,,,,,,,,https://www.nseindia.com/companies-listing/corporate-filings-pledged-data?symbol=SIGIND&tabIndex=equity,2026-09-14T13:13:56.118408+00:00,NO_NSE_ROW
NURECA,,,,,,,,,,,,,,https://www.nseindia.com/companies-listing/corporate-filings-pledged-data?symbol=NURECA&tabIndex=equity,2026-09-14T13:13:59.763953+00:00,NO_NSE_ROW
PLASTIBLEN,,,,,,,,,,,,,,https://www.nseindia.com/companies-listing/corporate-filings-pledged-data?symbol=PLASTIBLEN&tabIndex=equity,2026-09-14T13:14:03.352415+00:00,NO_NSE_ROW
BHAGERIA,,,,,,,,,,,,,,https://www.nseindia.com/companies-listing/corporate-filings-pledged-data?symbol=BHAGERIA&tabIndex=equity,2026-09-14T13:14:06.955415+00:00,NO_NSE_ROW
PKTEA,,,,,,,,,,,,,,https://www.nseindia.com/companies-listing/corporate-filings-pledged-data?symbol=PKTEA&tabIndex=equity,2026-09-14T13:14:11.082858+00:00,NO_NSE_ROW
ALEMBICLTD,,,,,,,,,,,,,,https://www.nseindia.com/companies-listing/corporate-filings-pledged-data?symbol=ALEMBICLTD&tabIndex=equity,2026-09-14T13:14:14.739965+00:00,NO_NSE_ROW
THANGAMAYL,,,,,,,,,,,,,,https://www.nseindia.com/companies-listing/corporate-filings-pledged-data?symbol=THANGAMAYL&tabIndex=equity,2026-09-14T13:14:18.507417+00:00,NO_NSE_ROW
DIAMONDYD,,,,,,,,,,,,,,https://www.nseindia.com/companies-listing/corporate-filings-pledged-data?symbol=DIAMONDYD&tabIndex=equity,2026-09-14T13:14:22.276489+00:00,NO_NSE_ROW
CHEMBONDCH,,,,,,,,,,,,,,https://www.nseindia.com/companies-listing/corporate-filings-pledged-data?symbol=CHEMBONDCH&tabIndex=equity,2026-09-14T13:14:26.172263+00:00,NO_NSE_ROW
INDIQUBE,,,,,,,,,,,,,,https://www.nseindia.com/companies-listing/corporate-filings-pledged-data?symbol=INDIQUBE&tabIndex=equity,2026-09-14T13:14:29.689500+00:00,NO_NSE_ROW
APLLTD,,,,,,,,,,,,,,https://www.nseindia.com/companies-listing/corporate-filings-pledged-data?symbol=APLLTD&tabIndex=equity,2026-09-14T13:14:33.227750+00:00,NO_NSE_ROW
AVONMORE,,,,,,,,,,,,,,https://www.nseindia.com/companies-listing/corporate-filings-pledged-data?symbol=AVONMORE&tabIndex=equity,2026-09-14T13:14:36.668967+00:00,NO_NSE_ROW
SRHHYPOLTD,,,,,,,,,,,,,,https://www.nseindia.com/companies-listing/corporate-filings-pledged-data?symbol=SRHHYPOLTD&tabIndex=equity,2026-09-14T13:14:40.254154+00:00,NO_NSE_ROW
STEL,,,,,,,,,,,,,,https://www.nseindia.com/companies-listing/corporate-filings-pledged-data?symbol=STEL&tabIndex=equity,2026-09-14T13:14:43.694645+00:00,NO_NSE_ROW
OBCL,,,,,,,,,,,,,,https://www.nseindia.com/companies-listing/corporate-filings-pledged-data?symbol=OBCL&tabIndex=equity,2026-09-14T13:14:47.720731+00:00,NO_NSE_ROW
CHEMBOND,,,,,,,,,,,,,,https://www.nseindia.com/companies-listing/corporate-filings-pledged-data?symbol=CHEMBOND&tabIndex=equity,2026-09-14T13:14:51.303053+00:00,NO_NSE_ROW
ASAHISONG,,,,,,,,,,,,,,https://www.nseindia.com/companies-listing/corporate-filings-pledged-data?symbol=ASAHISONG&tabIndex=equity,2026-09-14T13:14:55.194570+00:00,NO_NSE_ROW
PNGSREVA,,,,,,,,,,,,,,https://www.nseindia.com/companies-listing/corporate-filings-pledged-data?symbol=PNGSREVA&tabIndex=equity,2026-09-14T13:14:59.814304+00:00,NO_NSE_ROW
MAHSEAMLES,,,,,,,,,,,,,,https://www.nseindia.com/companies-listing/corporate-filings-pledged-data?symbol=MAHSEAMLES&tabIndex=equity,2026-09-14T13:15:03.532248+00:00,NO_NSE_ROW
PREMIERPOL,,,,,,,,,,,,,,https://www.nseindia.com/companies-listing/corporate-filings-pledged-data?symbol=PREMIERPOL&tabIndex=equity,2026-09-14T13:15:07.699572+00:00,NO_NSE_ROW
UYFINCORP,,,,,,,,,,,,,,https://www.nseindia.com/companies-listing/corporate-filings-pledged-data?symbol=UYFINCORP&tabIndex=equity,2026-09-14T13:15:11.843767+00:00,NO_NSE_ROW
SILVERTUC,,,,,,,,,,,,,,https://www.nseindia.com/companies-listing/corporate-filings-pledged-data?symbol=SILVERTUC&tabIndex=equity,2026-09-14T13:15:15.522850+00:00,NO_NSE_ROW
EIEL,,,,,,,,,,,,,,https://www.nseindia.com/companies-listing/corporate-filings-pledged-data?symbol=EIEL&tabIndex=equity,2026-09-14T13:15:19.737200+00:00,NO_NSE_ROW
SINCLAIR,,,,,,,,,,,,,,https://www.nseindia.com/companies-listing/corporate-filings-pledged-data?symbol=SINCLAIR&tabIndex=equity,2026-09-14T13:15:23.302990+00:00,NO_NSE_ROW
SENCO,,,,,,,,,,,,,,https://www.nseindia.com/companies-listing/corporate-filings-pledged-data?symbol=SENCO&tabIndex=equity,2026-09-14T13:15:27.319901+00:00,NO_NSE_ROW
VSTL,,,,,,,,,,,,,,https://www.nseindia.com/companies-listing/corporate-filings-pledged-data?symbol=VSTL&tabIndex=equity,2026-09-14T13:15:31.020825+00:00,NO_NSE_ROW
GANESHCP,,,,,,,,,,,,,,https://www.nseindia.com/companies-listing/corporate-filings-pledged-data?symbol=GANESHCP&tabIndex=equity,2026-09-14T13:15:35.028110+00:00,NO_NSE_ROW
KABRAEXTRU,,,,,,,,,,,,,,https://www.nseindia.com/companies-listing/corporate-filings-pledged-data?symbol=KABRAEXTRU&tabIndex=equity,2026-09-14T13:15:38.829414+00:00,NO_NSE_ROW
BAJAJHCARE,,,,,,,,,,,,,,https://www.nseindia.com/companies-listing/corporate-filings-pledged-data?symbol=BAJAJHCARE&tabIndex=equity,2026-09-14T13:15:42.598695+00:00,NO_NSE_ROW
NRL,,,,,,,,,,,,,,https://www.nseindia.com/companies-listing/corporate-filings-pledged-data?symbol=NRL&tabIndex=equity,2026-09-14T13:15:46.346879+00:00,NO_NSE_ROW
GOKUL,,,,,,,,,,,,,,https://www.nseindia.com/companies-listing/corporate-filings-pledged-data?symbol=GOKUL&tabIndex=equity,2026-09-14T13:15:50.235403+00:00,NO_NSE_ROW
BERGEPAINT,,,,,,,,,,,,,,https://www.nseindia.com/companies-listing/corporate-filings-pledged-data?symbol=BERGEPAINT&tabIndex=equity,2026-09-14T13:15:53.933975+00:00,NO_NSE_ROW
DOLLAR,,,,,,,,,,,,,,https://www.nseindia.com/companies-listing/corporate-filings-pledged-data?symbol=DOLLAR&tabIndex=equity,2026-09-14T13:15:57.342104+00:00,NO_NSE_ROW
TAINWALCHM,,,,,,,,,,,,,,https://www.nseindia.com/companies-listing/corporate-filings-pledged-data?symbol=TAINWALCHM&tabIndex=equity,2026-09-14T13:16:00.898852+00:00,NO_NSE_ROW
HCLTECH,,,,,,,,,,,,,,https://www.nseindia.com/companies-listing/corporate-filings-pledged-data?symbol=HCLTECH&tabIndex=equity,2026-09-14T13:16:04.799652+00:00,NO_NSE_ROW
MANINFRA,,,,,,,,,,,,,,https://www.nseindia.com/companies-listing/corporate-filings-pledged-data?symbol=MANINFRA&tabIndex=equity,2026-09-14T13:16:08.626551+00:00,NO_NSE_ROW
HEXAGON,,,,,,,,,,,,,,https://www.nseindia.com/companies-listing/corporate-filings-pledged-data?symbol=HEXAGON&tabIndex=equity,2026-09-14T13:16:12.277849+00:00,NO_NSE_ROW
SGIL,,,,,,,,,,,,,,https://www.nseindia.com/companies-listing/corporate-filings-pledged-data?symbol=SGIL&tabIndex=equity,2026-09-14T13:16:15.848405+00:00,NO_NSE_ROW
PGHH,,,,,,,,,,,,,,https://www.nseindia.com/companies-listing/corporate-filings-pledged-data?symbol=PGHH&tabIndex=equity,2026-09-14T13:16:19.459759+00:00,NO_NSE_ROW
VIVIANA,,,,,,,,,,,,,,https://www.nseindia.com/companies-listing/corporate-filings-pledged-data?symbol=VIVIANA&tabIndex=equity,2026-09-14T13:16:23.041592+00:00,NO_NSE_ROW
OMPOWER,,,,,,,,,,,,,,https://www.nseindia.com/companies-listing/corporate-filings-pledged-data?symbol=OMPOWER&tabIndex=equity,2026-09-14T13:16:26.614216+00:00,NO_NSE_ROW
ARSSBL,,,,,,,,,,,,,,https://www.nseindia.com/companies-listing/corporate-filings-pledged-data?symbol=ARSSBL&tabIndex=equity,2026-09-14T13:16:30.265400+00:00,NO_NSE_ROW
AMANTA,,,,,,,,,,,,,,https://www.nseindia.com/companies-listing/corporate-filings-pledged-data?symbol=AMANTA&tabIndex=equity,2026-09-14T13:16:33.742312+00:00,NO_NSE_ROW
BMWVENTLTD,,,,,,,,,,,,,,https://www.nseindia.com/companies-listing/corporate-filings-pledged-data?symbol=BMWVENTLTD&tabIndex=equity,2026-09-14T13:16:37.536011+00:00,NO_NSE_ROW
MOTOGENFIN,,,,,,,,,,,,,,https://www.nseindia.com/companies-listing/corporate-filings-pledged-data?symbol=MOTOGENFIN&tabIndex=equity,2026-09-14T13:16:41.215270+00:00,NO_NSE_ROW
TRUALT,,,,,,,,,,,,,,https://www.nseindia.com/companies-listing/corporate-filings-pledged-data?symbol=TRUALT&tabIndex=equity,2026-09-14T13:16:44.721730+00:00,NO_NSE_ROW
SANDUMA,,,,,,,,,,,,,,https://www.nseindia.com/companies-listing/corporate-filings-pledged-data?symbol=SANDUMA&tabIndex=equity,2026-09-14T13:16:48.292927+00:00,NO_NSE_ROW
TIGERLOGS,,,,,,,,,,,,,,https://www.nseindia.com/companies-listing/corporate-filings-pledged-data?symbol=TIGERLOGS&tabIndex=equity,2026-09-14T13:16:52.164906+00:00,NO_NSE_ROW
JINDALSTEL,,,,,,,,,,,,,,https://www.nseindia.com/companies-listing/corporate-filings-pledged-data?symbol=JINDALSTEL&tabIndex=equity,2026-09-14T13:16:55.657261+00:00,NO_NSE_ROW
GRMOVER,,,,,,,,,,,,,,https://www.nseindia.com/companies-listing/corporate-filings-pledged-data?symbol=GRMOVER&tabIndex=equity,2026-09-14T13:16:59.264992+00:00,NO_NSE_ROW
MBEL,,,,,,,,,,,,,,https://www.nseindia.com/companies-listing/corporate-filings-pledged-data?symbol=MBEL&tabIndex=equity,2026-09-14T13:17:02.742718+00:00,NO_NSE_ROW
WCIL,,,,,,,,,,,,,,https://www.nseindia.com/companies-listing/corporate-filings-pledged-data?symbol=WCIL&tabIndex=equity,2026-09-14T13:17:07.675146+00:00,NO_NSE_ROW
