Symbol,Company Name,Regulation,Type of Submission,Broadcast Date/Time,Details URL,Scrip Code,NSE Symbol,MSEI Symbol,Name of Signatory,Designation of Signatory,Sr. No.,Type of Instrument,Category of Person,Name of Person,CIN/DIN,Securities Held Prior (No.),Securities Held Prior (%),Securities Acquired/Disposed (No.),Securities Acquired/Disposed (Value),Transaction Type,Securities Held Post (No.),Securities Held Post (%),Date From,Date To,Mode of Acquisition/Disposal,Date of Intimation,Exchange,Notes
MAYURUNIQ,MAYUR UNIQUOTERS LIMITED,Regulation 7 (2),Original,23-Sep-2026 23:35:26,https://nsearchives.nseindia.com/corporate/ixbrl/IT_6149_20260923_233526427_WEB.html,522249,MAYURUNIQ,NOTLISTED,KAPIL ARORA,,1,Equity,Promoter,Kiran Poddar,,83727,0.19%,1000,"757,980.00",Buy,84727,0.20%,22-09-2026,22-09-2026,Market Purchase,23-09-2026,,
SANGHVIMOV,SANGHVI MOVERS LIMITED,Regulation 7 (2),Original,23-Sep-2026 19:29:48,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1741_20260923_192948776_WEB.html,530073,SANGHVIMOV,NOTLISTED,Vinav Agarwal,,1,Equity,KMP,Gaurang Desai,,2500,0.00%,500,428.00,Buy,3000,0.00%,21-09-2026,21-09-2026,Market Purchase,21-09-2026,,
ALEMBICLTD,Alembic Limited,Regulation 7 (2),Original,23-Sep-2026 19:04:39,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1817_20260923_190439159_WEB.html,506235,ALEMBICLTD,NOTLISTED,Keval Thakkar,,1,Equity,Promoter Group,Nirayu  Private Limited,U28100GJ1971PTC098778,162961356,63.46%,65981,"6,966,311.00",Buy,163027337,63.49%,22-09-2026,23-09-2026,Market Purchase,23-09-2026,,
DBOL,Dhampur Bio Organics Limited,Regulation 7 (2),Original,23-Sep-2026 17:50:42,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20812_20260923_175042747_WEB.html,543593,DBOL,NA,Ashu Rawat,,1,Equity,Trust,DBO Employee Welfare Trust,,764383,1.15%,10000,"1,149,959.00",Buy,774383,1.17%,22-09-2026,22-09-2026,Market Purchase,23-09-2026,,
LINC,LINC LIMITED,Regulation 7 (2),Original,23-Sep-2026 16:36:56,https://nsearchives.nseindia.com/corporate/ixbrl/IT_11602_20260923_163656403_WEB.html,531241,LINC,NOTLISTED,DIPANKAR DE,,1,Equity,Promoter Group,DEVANSHI JALAN,,1661928,2.79%,140500,"12,934,559.00",Sell,1521428,2.56%,21-09-2026,21-09-2026,Market Sale,23-09-2026,,
LINC,LINC LIMITED,Regulation 7 (2),Original,23-Sep-2026 16:36:56,https://nsearchives.nseindia.com/corporate/ixbrl/IT_11602_20260923_163656403_WEB.html,531241,LINC,NOTLISTED,DIPANKAR DE,,2,Equity,Promoter,DEEPAK JALAN,,2944170,4.95%,48500,"4,478,801.00",Buy,2992670,5.03%,21-09-2026,21-09-2026,Market Purchase,23-09-2026,,
LINC,LINC LIMITED,Regulation 7 (2),Original,23-Sep-2026 16:36:56,https://nsearchives.nseindia.com/corporate/ixbrl/IT_11602_20260923_163656403_WEB.html,531241,LINC,NOTLISTED,DIPANKAR DE,,3,Equity,Promoter Group,SARITA JALAN,,5187160,8.72%,32500,"2,990,001.00",Buy,5219660,8.77%,21-09-2026,21-09-2026,Market Purchase,23-09-2026,,
LINC,LINC LIMITED,Regulation 7 (2),Original,23-Sep-2026 16:36:56,https://nsearchives.nseindia.com/corporate/ixbrl/IT_11602_20260923_163656403_WEB.html,531241,LINC,NOTLISTED,DIPANKAR DE,,4,Equity,Promoter Group,ROHIT DEEPAK JALAN HUF,,2828000,4.75%,38000,"3,487,950.00",Buy,2866000,4.82%,21-09-2026,21-09-2026,Market Purchase,23-09-2026,,
LINC,LINC LIMITED,Regulation 7 (2),Original,23-Sep-2026 16:36:56,https://nsearchives.nseindia.com/corporate/ixbrl/IT_11602_20260923_163656403_WEB.html,531241,LINC,NOTLISTED,DIPANKAR DE,,5,Equity,Promoter Group,DIVYA JALAN,,656000,1.10%,21500,"1,978,002.00",Buy,677500,1.14%,21-09-2026,21-09-2026,Market Purchase,23-09-2026,,
TURTLEMINT,Turtlemint Fintech Solutions Limited,Regulation 7 (2),Original,23-Sep-2026 15:53:15,https://nsearchives.nseindia.com/corporate/ixbrl/IT_26874_20260923_155314947_WEB.html,544799,TURTLEMINT,NOTLISTED,Prashant Saini,,1,Equity,Designated Person,Rahul Brahmne,,25000,0.01%,10120,"1,466,860.00",Sell,14880,0.00%,01-09-2026,22-09-2026,Market Sale,22-09-2026,,
BMWVENTLTD,BMW VENTURES LIMITED,Regulation 7 (2),Original,23-Sep-2026 13:49:55,https://nsearchives.nseindia.com/corporate/ixbrl/IT_24065_20260923_134955496_WEB.html,544543,BMWVENTLTD,NOTLISTED,Ruchika Maheshwari Kejriwal,,1,Equity,Promoter Group,SHIVANSH KISHOREPURIA,,431063,0.49%,95437,"4,986,682.00",Buy,526500,0.60%,22-09-2026,22-09-2026,Market Purchase,22-09-2026,,
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Regulation 7 (2),Original,23-Sep-2026 11:45:15,https://nsearchives.nseindia.com/corporate/ixbrl/IT_227_20260923_114515108_WEB.html,500490,BAJAJHLDNG,NOTLISTED,Saurabh Erande,,1,Equity,Promoter Group,Jamnalal Sons Private Limited,U17110MH1938PTC010292,20049515,18.01%,75,"825,750.00",Buy,20049590,18.02%,18-09-2026,18-09-2026,Inter-se-Transfer,21-09-2026,,
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Regulation 7 (2),Original,23-Sep-2026 11:45:15,https://nsearchives.nseindia.com/corporate/ixbrl/IT_227_20260923_114515108_WEB.html,500490,BAJAJHLDNG,NOTLISTED,Saurabh Erande,,2,Equity,Promoter Group,Bajaj Finance Limited,L65910MH1987PLC042961,75,0.00%,75,"825,750.00",Sell,0,0.00%,18-09-2026,18-09-2026,Inter-se-Transfer,22-09-2026,,
BLBLIMITED,BLB LIMITED,Regulation 7 (2),Original,23-Sep-2026 10:20:16,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1893_20260923_102016835_WEB.html,532290,BLBLIMITED,NOTLISTED,Nishant Garud,,1,Equity,Promoter and Director,Brij Rattan Bagri,00007441,25133054,47.54%,65581,"1,055,198.00",Buy,25198635,47.67%,22-09-2026,22-09-2026,Market Purchase,23-09-2026,,
SHREEJISPG,SHREEJI SHIPPING GLOBAL LIMITED,Regulation 7 (2),Original,22-Sep-2026 19:43:12,https://nsearchives.nseindia.com/corporate/ixbrl/IT_25314_20260922_194312627_WEB.html,544490,SHREEJISPG,NOTLISTED,ARCHANABA KRUNALSINH GOHIL,,1,Equity,Promoter,ASHOKKUMAR HARIDAS LAL,01736933,66798418,41.00%,245000,"173,635,934.00",Sell,66553418,40.85%,21-09-2026,21-09-2026,Market Sale,22-09-2026,,
SHREEJISPG,SHREEJI SHIPPING GLOBAL LIMITED,Regulation 7 (2),Original,22-Sep-2026 19:43:12,https://nsearchives.nseindia.com/corporate/ixbrl/IT_25314_20260922_194312627_WEB.html,544490,SHREEJISPG,NOTLISTED,ARCHANABA KRUNALSINH GOHIL,,2,Equity,Promoter,JITENDRAKUMAR HARIDAS LAL,00991555,66798418,41.00%,245000,"173,647,920.00",Sell,66553418,40.85%,21-09-2026,21-09-2026,Market Sale,22-09-2026,,
PAISALO,PAISALO DIGITAL LIMITED,Regulation 7 (2),Original,22-Sep-2026 18:29:42,https://nsearchives.nseindia.com/corporate/ixbrl/IT_5294_20260922_182942508_WEB.html,532900,PAISALO,NOTLISTED,Manendra Singh,,1,Debenture,Directors Immediate Relative,HARISH SINGH HUF,,0,0.00%,120,"12,000,000.00",Buy,120,0.96%,18-09-2026,18-09-2026,Allotment,22-09-2026,,
PAISALO,PAISALO DIGITAL LIMITED,Regulation 7 (2),Original,22-Sep-2026 18:29:42,https://nsearchives.nseindia.com/corporate/ixbrl/IT_5294_20260922_182942508_WEB.html,532900,PAISALO,NOTLISTED,Manendra Singh,,2,Debenture,Directors Immediate Relative,PRANAV CHAUHAN,,0,0.00%,202,"20,200,000.00",Buy,202,1.62%,18-09-2026,18-09-2026,Allotment,22-09-2026,,
PAISALO,PAISALO DIGITAL LIMITED,Regulation 7 (2),Original,22-Sep-2026 18:29:42,https://nsearchives.nseindia.com/corporate/ixbrl/IT_5294_20260922_182942508_WEB.html,532900,PAISALO,NOTLISTED,Manendra Singh,,3,Debenture,Directors Immediate Relative,PRITI CHAUHAN,,0,0.00%,138,"13,800,000.00",Buy,138,1.11%,18-09-2026,18-09-2026,Allotment,22-09-2026,,
NRBBEARING,NRB BEARING LIMITED,Regulation 7 (2),Original,22-Sep-2026 17:32:51,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1867_20260922_173251030_WEB.html,530367,NRBBEARING,NA,Ms. Khyati Danani,,1,Equity,Promoter,Harshbeena Zaveri,,40180885,41.46%,210130,"110,488,560.00",Sell,39970755,41.24%,18-09-2026,18-09-2026,Market Sale,22-09-2026,,
NRBBEARING,NRB BEARING LIMITED,Regulation 7 (2),Original,22-Sep-2026 17:32:51,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1867_20260922_173251030_WEB.html,530367,NRBBEARING,NA,Ms. Khyati Danani,,2,Equity,Promoter,Harshbeena Zaveri,,39970755,41.24%,37500,"19,945,500.00",Sell,39933255,41.20%,21-09-2026,21-09-2026,Market Sale,22-09-2026,,
ECLERX,eClerx Services Ltd,Regulation 7 (2),Original,22-Sep-2026 16:44:59,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2698_20260922_164459643_WEB.html,532927,ECLERX,NOTLISTED,Pratik Bhanushali,,1,Equity,Trust,Eclerx Employee Welfare,,2284651,2.43%,9752,"18,948,561.00",Buy,2294403,2.44%,21-09-2026,21-09-2026,Market Purchase,21-09-2026,,
SUVIDHAA,SUVIDHAA INFOSERVE LIMITED,Regulation 7 (2),Original,22-Sep-2026 15:49:55,https://nsearchives.nseindia.com/corporate/ixbrl/IT_19313_20260922_154955553_WEB.html,543281,SUVIDHAA,NOTLISTED,BHUMI MISTRY,,1,Equity,Director,Prashant Prahaladray Thakar,03179115,2865148,1.37%,60806,"135,628.00",Sell,2804342,1.34%,21-09-2026,21-09-2026,Market Sale,21-09-2026,,
VEEGALAND,Veegaland Developers Limited,Regulation 7 (2),Original,22-Sep-2026 15:08:43,https://nsearchives.nseindia.com/corporate/ixbrl/IT_27602_20260922_150843623_WEB.html,544923,VEEGALAND,NOTLISTED,Akshay Anand T S,,1,Equity,Promoter and Director,Kochouseph Thomas Chittilappilly,00020512,23498500,48.20%,107946,"15,013,939.00",Buy,23606446,48.42%,21-09-2026,21-09-2026,Market Purchase,22-09-2026,,
VEEGALAND,Veegaland Developers Limited,Regulation 7 (2),Original,22-Sep-2026 15:08:43,https://nsearchives.nseindia.com/corporate/ixbrl/IT_27602_20260922_150843623_WEB.html,544923,VEEGALAND,NOTLISTED,Akshay Anand T S,,2,Equity,Promoter and Director,Kochouseph Thomas Chittilappilly,00020512,23606446,48.42%,192054,"27,287,946.00",Buy,23798500,48.82%,21-09-2026,21-09-2026,Market Purchase,22-09-2026,,
STEL,STEL HOLDINGS LIMITED,Regulation 7 (2),Original,22-Sep-2026 11:41:47,https://nsearchives.nseindia.com/corporate/ixbrl/IT_4020_20260922_114147462_WEB.html,533316,STEL,NOTLISTED,SRUTHI SINDHU,,1,Equity,Promoter Group,LEBNITZE REAL ESTATES PVT LTD,U70109WB2012PTC174446,567062,3.07%,11202,"7,397,087.00",Buy,578264,3.13%,21-09-2026,21-09-2026,Market Purchase,21-09-2026,,
BLBLIMITED,BLB LIMITED,Regulation 7 (2),Original,22-Sep-2026 10:05:16,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1893_20260922_100516392_WEB.html,532290,BLBLIMITED,NOTLISTED,Nishant Garud,,1,Equity,Promoter and Director,Brij Rattan Bagri,00007441,25077831,47.44%,55223,"886,329.00",Buy,25133054,47.54%,21-09-2026,21-09-2026,Market Purchase,22-09-2026,,
STARCEMENT,STAR CEMENT LIMITED,Regulation 7 (2),Original,21-Sep-2026 19:41:55,https://nsearchives.nseindia.com/corporate/ixbrl/IT_15239_20260921_194155122_WEB.html,540575,STARCEMENT,NOTLISTED,DEBABRATA THAKURTA,,1,Equity,Promoter Group,Saroj Kejriwal,,102274,0.03%,102074,"19,965,674.00",Sell,200,0.00%,15-09-2026,15-09-2026,Gift,17-09-2026,,
STARCEMENT,STAR CEMENT LIMITED,Regulation 7 (2),Original,21-Sep-2026 19:41:55,https://nsearchives.nseindia.com/corporate/ixbrl/IT_15239_20260921_194155122_WEB.html,540575,STARCEMENT,NOTLISTED,DEBABRATA THAKURTA,,2,Equity,Promoter Group,ARUSHI KEJRIWAL,,18086,0.00%,150749,"29,486,504.00",Buy,168835,0.04%,15-09-2026,15-09-2026,Gift,17-09-2026,,
SUVIDHAA,SUVIDHAA INFOSERVE LIMITED,Regulation 7 (2),Original,21-Sep-2026 18:27:15,https://nsearchives.nseindia.com/corporate/ixbrl/IT_19313_20260921_182715846_WEB.html,543281,SUVIDHAA,NOTLISTED,BHUMI MISTRY,,1,Equity,Director,Prashant Prahaladray Thakar,03179115,2962431,1.41%,71502,"158,320.00",Sell,2890929,1.38%,17-09-2026,17-09-2026,Market Sale,17-09-2026,,
SUVIDHAA,SUVIDHAA INFOSERVE LIMITED,Regulation 7 (2),Original,21-Sep-2026 18:27:15,https://nsearchives.nseindia.com/corporate/ixbrl/IT_19313_20260921_182715846_WEB.html,543281,SUVIDHAA,NOTLISTED,BHUMI MISTRY,,2,Equity,Director,Prashant Prahaladray Thakar,03179115,2890929,1.38%,25781,"57,471.00",Sell,2865148,1.37%,18-09-2026,18-09-2026,Market Sale,18-09-2026,,
ANTHEM,Anthem Biosciences Limited,Regulation 7 (2),Original,21-Sep-2026 18:06:54,https://nsearchives.nseindia.com/corporate/ixbrl/IT_25167_20260921_180654274_WEB.html,544449,ANTHEM,NOTLISTED,Divya Prasad,,1,Equity,Designated Person,Viridity Tone LLP,,1000000,0.18%,900000,"826,739,089.00",Sell,100000,0.02%,18-09-2026,18-09-2026,Market Sale,21-09-2026,,
TAINWALCHM,TAINWALA CHEMICALS AND PLASTICS (INDIA) LIMITED,Regulation 7 (2),Original,21-Sep-2026 17:20:10,https://nsearchives.nseindia.com/corporate/ixbrl/IT_481_20260921_172009942_WEB.html,507785,TAINWALCHM,NOTLISTED,Divya Saboo,,1,Equity,Promoter Group,PERIWINKLE FASHIONS PRIVATE LIMITED,U74994MH2004PTC144846,60551,0.65%,1602,"336,420.00",Buy,62153,0.66%,17-09-2026,17-09-2026,Market Purchase,18-09-2026,,
GREENPANEL,Greenpanel Industries Limited,Regulation 7 (2),Original,21-Sep-2026 17:01:46,https://nsearchives.nseindia.com/corporate/ixbrl/IT_17613_20260921_170146671_WEB.html,542857,GREENPANEL,NOTLISTED,Lawkush Prasad,,1,Equity,Promoter Group,Prime Holdings Pvt. Ltd.,U70101AS1994PTC004092,48117320,39.24%,180000,"27,494,946.00",Buy,48297320,39.39%,16-09-2026,16-09-2026,Market Purchase,18-09-2026,,
PATELENG,PATEL ENGINEERING LIMITED,Regulation 7 (2),Original,21-Sep-2026 16:34:03,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2262_20260921_163403458_WEB.html,531120,PATELENG,NOTLISTED,Shobha Shetty,,1,Equity,Promoter,Praham India LLP,,40195352,4.05%,32387725,0.00,Pledge Revoke,40195352,4.05%,17-09-2026,17-09-2026,Pledge Release,21-09-2026,,
PATELENG,PATEL ENGINEERING LIMITED,Regulation 7 (2),Original,21-Sep-2026 16:34:03,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2262_20260921_163403458_WEB.html,531120,PATELENG,NOTLISTED,Shobha Shetty,,2,Equity,Promoter,Praham India LLP,,40195352,4.05%,32387725,0.00,Pledge,40195352,4.05%,18-09-2026,18-09-2026,Others,21-09-2026,,
MANAKCOAT,MANAKSIA COATED METALS AND INDUSTRIES LIMITED,Regulation 7 (2),Revision,21-Sep-2026 15:42:32,https://nsearchives.nseindia.com/corporate/ixbrl/IT_11754_20260921_154232256_WEB.html,539046,MANAKCOAT,NOTLISTED,SHRUTI AGARWAL,,1,Equity,Promoter Group,KARAN AGRAWAL,,6597185,6.56%,400000,"26,000,000.00",Buy,6997185,6.56%,30-06-2026,30-06-2026,Allotment,01-07-2026,,
MANAKCOAT,MANAKSIA COATED METALS AND INDUSTRIES LIMITED,Regulation 7 (2),Revision,21-Sep-2026 15:42:32,https://nsearchives.nseindia.com/corporate/ixbrl/IT_11754_20260921_154232256_WEB.html,539046,MANAKCOAT,NOTLISTED,SHRUTI AGARWAL,,2,Equity,Promoter Group,TUSHAR AGRAWAL,,5972190,5.98%,400000,"26,000,000.00",Buy,6372190,5.98%,30-06-2026,30-06-2026,Allotment,01-07-2026,,
PATELENG,PATEL ENGINEERING LIMITED,Regulation 7 (2),Original,21-Sep-2026 15:21:49,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2262_20260921_152149753_WEB.html,531120,PATELENG,NOTLISTED,Shobha Shetty,,1,Equity,Promoter,Praham India LLP,,40195352,4.05%,32387725,0.00,Pledge Revoke,40195352,4.05%,17-09-2026,17-09-2026,Pledge Release,21-09-2026,,
PATELENG,PATEL ENGINEERING LIMITED,Regulation 7 (2),Original,21-Sep-2026 15:21:49,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2262_20260921_152149753_WEB.html,531120,PATELENG,NOTLISTED,Shobha Shetty,,2,Equity,Promoter,Praham India LLP,,40195352,4.05%,32387725,0.00,Pledge,40195352,4.05%,18-09-2026,18-09-2026,Others,21-09-2026,,
VISAKAIND,Visaka Industries Limited,Regulation 7 (2),Original,21-Sep-2026 12:04:52,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1388_20260921_120452291_WEB.html,509055,VISAKAIND,NOTLISTED,Ramakanth Kunapuli,,1,Equity,Promoter Group,VIGILANCE SECURITY SERVICES PRIVATE LIMITED,U45100TG1989PTC010383,4355837,5.04%,2000,"185,640.00",Buy,4357837,5.04%,18-09-2026,18-09-2026,Market Purchase,19-09-2026,,
INFY,Infosys Limited,Regulation 7 (2),Original,21-Sep-2026 11:05:58,https://nsearchives.nseindia.com/corporate/ixbrl/IT_180_20260921_110558490_WEB.html,500209,INFY,NOTLISTED,Manikantha A.G.S,,1,Any other instrument,Designated Person,Joseph J. Alenchery,,13991,0.00%,5739,"5,954,104.00",Buy,19730,0.00%,17-09-2026,17-09-2026,ESOP,17-09-2026,,
